# CVS $Revision: $ $Author: $ -- Wed Dec  3 23:06:11 2008 -- reformated by prettylst.pl v1.38 (build 7302)														
### A Block														
SOURCELONG:Is This It	SOURCESHORT:Is This It	SOURCEDATE:2007-03												
														
SOURCELONG:Spell Compendium	SOURCESHORT:SC													
Animate Breath.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7		
Animate Fire.MOD	CLASSES:Wicca ~ Advanced=1		
Animate Snow.MOD	CLASSES:Wicca ~ Advanced=6		
Animate Water.MOD	CLASSES:Wicca ~ Advanced=1		
Animate Wood.MOD	CLASSES:Wicca ~ Advanced=1		
Anticipate Teleportation.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3				
Anticipate Teleportation (Greater).MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6												
Anticold Sphere.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=5|Wizardry ~ Advanced=5		
Antidragon Aura.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3		
Antimagic Ray.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7		
Appraising Touch.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1		
Arc of Lightning.MOD	CLASSES:Wicca ~ Advanced=4|Sorcerer=5|Wizardry ~ Advanced=5		
Arrow Mind.MOD	CLASSES:Wicca ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1	
Arrow of Bone.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7		
Arrow Storm.MOD	CLASSES:Wicca ~ Basic=3	
Aspect of the Earth Hunter.MOD	CLASSES:Wicca ~ Advanced=6|Wicca ~ Basic=4				
Aspect of the Wolf.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=1			
Assay Spell Resistance.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=4|Wizardry ~ Advanced=4			
Astral Hospice.MOD	CLASSES:Canonry ~ Advanced=4		
Attune Form.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=3|Sorcerer=4|Wizardry ~ Advanced=4	
Augment Familiar.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Aura Against Flame.MOD	CLASSES:Canonry ~ Advanced=2|Wicca ~ Advanced=1			
Aura of Evasion.MOD	CLASSES:Canonry ~ Advanced=5|Sorcerer=5|Wizardry ~ Advanced=5		
Aura of Glory.MOD	CLASSES:Canonry ~ Basic=2		
Aura of Terror.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6		
Aura of Vitality.MOD	CLASSES:Wicca ~ Advanced=7		
Avascular Mass.MOD	CLASSES:Sorcerer=8|Wizardry ~ Advanced=8		
Avasculate.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7	
Avoid Planar Effects.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=2|Sorcerer=3|Wizardry ~ Advanced=3			
Awaken (Mass).MOD	CLASSES:Wicca ~ Advanced=8					
Awaken Construct.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=9|Wizardry ~ Advanced=9		
Awaken Sin.MOD	CLASSES:Canonry ~ Advanced=3|Canonry ~ Basic=2	
Awaken Undead.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7		
Axiomatic Storm.MOD	CLASSES:Canonry ~ Advanced,Canonry ~ Basic=3		
Axiomatic Water.MOD	CLASSES:Canonry ~ Advanced,Canonry ~ Basic=1		
														
### B Block ###														
Babau Slime.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=1|Wizardry ~ Advanced=1	
Backbiter.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1	
Backlash.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4	
Balancing Lorecall.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2			
Baleful Transposition.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2			
Ball Lightning.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5		
Balor Nimbus.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2		
Bands of Steel.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3		
Barghest's Feast.MOD	CLASSES:Canonry ~ Advanced=6|Sorcerer=7|Wizardry ~ Advanced=7		
Battering Ram.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Battle Hymn.MOD	CLASSES:Wizardry ~ Basic=2|Sorcerer=4|Wizardry ~ Advanced=4	
Beast Claws.MOD	CLASSES:Wicca ~ Advanced=1	
Beastland Ferocity.MOD	CLASSES:Wizardry ~ Basic,Wicca ~ Advanced=1			
Beget Bogun.MOD	CLASSES:Wicca ~ Advanced=1	
Belker Claws.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Benign Transposition.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1			
Bestow Curse (Greater).MOD	CLASSES:Canonry ~ Advanced=7|Sorcerer=8|Wizardry ~ Advanced=8								
Binding Winds.MOD	CLASSES:Wicca ~ Advanced=2		
Bite of the Werebear.MOD	CLASSES:Wicca ~ Advanced=6|Sorcerer=7|Wizardry ~ Advanced=7			
Bite of the Wereboar.MOD	CLASSES:Wicca ~ Advanced=4|Sorcerer=5|Wizardry ~ Advanced=5			
Bite of the Wererat.MOD	CLASSES:Wicca ~ Advanced=2|Sorcerer=3|Wizardry ~ Advanced=3			
Bite of the Weretiger.MOD	CLASSES:Wicca ~ Advanced=5|Sorcerer=6|Wizardry ~ Advanced=6			
Bite of the Werewolf.MOD	CLASSES:Wicca ~ Advanced=3|Sorcerer=4|Wizardry ~ Advanced=4			
Black Blade of Disaster.MOD	CLASSES:Sorcerer=9|Wizardry ~ Advanced=9			
Blackfire.MOD	CLASSES:Sorcerer=8|Wizardry ~ Advanced=8	
#Blacklight.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3	
Blade of Pain and Fear.MOD	CLASSES:Assassin,Blackguard=2|Canonry ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3	DOMAINS:Deathbound=2		
Blade Storm.MOD	CLASSES:Wicca ~ Basic=3	
Blade Thirst.MOD	CLASSES:Wicca ~ Basic=3		
Blades of Fire.MOD	CLASSES:Wicca ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1		
Bladeweave.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2	
Blast of Flame.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4		
Blast of Force.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Bless Weapon (Swift).MOD	CLASSES:Canonry ~ Basic=1								
Blessed Aim.MOD	CLASSES:Canonry ~ Advanced,Blackguard,Canonry ~ Basic=1	
Blessing of Bahamut.MOD	CLASSES:Canonry ~ Basic=3			
Blinding Breath.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4		
Blinding Spittle.MOD	CLASSES:Wicca ~ Advanced=2		
Blindsight.MOD	CLASSES:Wicca ~ Advanced,Canonry ~ Advanced=3	
Blindsight (Greater).MOD	CLASSES:Wicca ~ Advanced,Canonry ~ Advanced=4								
Blink (Greater).MOD	CLASSES:Wizardry ~ Basic,Sorcerer=5|Wizardry ~ Advanced=5						
Blistering Radiance.MOD	CLASSES:Canonry ~ Advanced=5|Sorcerer=4|Wizardry ~ Advanced=4			
Blood Frenzy.MOD	CLASSES:Wicca ~ Advanced=2		
Blood Sirocco.MOD	CLASSES:Wicca ~ Advanced=6		
Blood to Water.MOD	CLASSES:Canonry ~ Advanced=7		
Blood Wind.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=1|Wizardry ~ Advanced=1	
Bloodhound.MOD	CLASSES:Wicca ~ Basic=1	
Bloodstar.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4	
Bodak's Glare.MOD	CLASSES:Canonry ~ Advanced=8		
Body Blades.MOD	CLASSES:Canonry ~ Advanced=2	
Body Harmonic.MOD	CLASSES:Wizardry ~ Basic=5		
Body of the Sun.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2		
Body of War.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7	
#Bolt of Glory.MOD	CLASSES:Canonry ~ Advanced=6		
#Bolts of Bedevilment.MOD	CLASSES:Wizardry ~ Basic=5			
Bombardment.MOD	CLASSES:Wicca ~ Advanced=8	
Bonefiddle.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2	
Bottle of Smoke.MOD	CLASSES:Wicca ~ Advanced=4|Wicca ~ Basic=3		
Brain Spider.MOD	CLASSES:Canonry ~ Advanced=7		
Brambles.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=2	
Branch to Branch.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=1		
Breath Flare.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1		
Breath of the Jungle.MOD	CLASSES:Wicca ~ Advanced=1			
Breath Weapon Admixture.MOD	CLASSES:Sorcerer=9|Wizardry ~ Advanced=9			
Breath Weapon Substitution.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5				
Briar Web.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=2	
Brilliant Aura.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=8|Sorcerer=7|Wizardry ~ Advanced=7		
Brilliant Blade.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=7|Sorcerer=6|Wizardry ~ Advanced=6		
Bristle.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2	
Buoyant Lifting.MOD	CLASSES:Wicca ~ Advanced=1		
Burning Blood.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4		
Burning Sword.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Burrow.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=2	
Burrow (Mass).MOD	CLASSES:Wicca ~ Advanced=4|Wicca ~ Basic=3					
Buzzing Bee.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1	
														
###C Block###														
Cacophonic Burst.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=5|Wizardry ~ Advanced=5		
Cacophonic Shield.MOD	CLASSES:Wizardry ~ Basic=4|Sorcerer=5|Wizardry ~ Advanced=5		
Call Kolyarut.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=7|Wizardry ~ Advanced=7		
Call Marut.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=9|Wizardry ~ Advanced=9	
Call Zelekhut.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=5|Wizardry ~ Advanced=5		
Caltrops.MOD	CLASSES:Sorcerer=0|Wizardry ~ Advanced=0	
Camouflage.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=1	
Camouflage (Mass).MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=2						
Capricios Zephyr.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3		
Cast in Stone.MOD	CLASSES:Wicca ~ Advanced=9		
Castigate.MOD	CLASSES:Canonry ~ Advanced,Canonry ~ Basic=4	
Celebration.MOD	CLASSES:Wizardry ~ Basic=4	
Chain Missile.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3		
Chain of Eyes.MOD	CLASSES:Canonry ~ Advanced=3|Wicca ~ Advanced=4|Sorcerer=2|Wizardry ~ Advanced=2		
Charge of the Triceratops.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=3				
Cheat.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1
Checkmate's Light.MOD	CLASSES:Canonry ~ Advanced=3|Canonry ~ Basic=2		
Circle Dance.MOD	CLASSES:Wizardry ~ Basic=2|Canonry ~ Advanced,Wicca ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3		
Claws of the Bear.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=1		
Claws of Darkness.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Clear Mind.MOD	CLASSES:Canonry ~ Basic=1	
Climb Walls.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=1	
Cloak of Bravery.MOD	CLASSES:Canonry ~ Advanced=3|Canonry ~ Basic=2		
Cloak of the Sea.MOD	CLASSES:Wicca ~ Advanced=5|Sorcerer=6|Wizardry ~ Advanced=6		
Cloak Pool.MOD	CLASSES:Canonry ~ Advanced=3|Canonry ~ Basic=2	
Close Wounds.MOD	CLASSES:Canonry ~ Advanced=2		
Cloud of Bewilderment.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2			
Cloud Wings.MOD	CLASSES:Wicca ~ Advanced=2	
Cloudburst.MOD	CLASSES:Wicca ~ Advanced=1	
Cloudwalkers.MOD	CLASSES:Wicca ~ Advanced=7						
Clutch of Orcus.MOD	CLASSES:Canonry ~ Advanced=3		
Cocoon.MOD	CLASSES:Wicca ~ Advanced=8	
Cold Fire.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=1	
Cold Snap.MOD	CLASSES:Canonry ~ Advanced=6|Wicca ~ Advanced=5	
Combust.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2	
Cometfall.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=6	
Cone of Dimness.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3		
Consumptive Field.MOD	CLASSES:Canonry ~ Advanced=4		
Consumptive Field (Greater).MOD	CLASSES:Canonry ~ Advanced=7										
Contagion (Mass).MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=5|Sorcerer=6|Wizardry ~ Advanced=6						
Contagious Fog.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3		
Contagious Touch.MOD	CLASSES:Wicca ~ Advanced=4		
Contingent Energy Resistance.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=4|Sorcerer=5|Wizardry ~ Advanced=5				
Conviction.MOD	CLASSES:Canonry ~ Advanced=1	
Conviction (Mass).MOD	CLASSES:Canonry ~ Advanced=3						
Corona of Cold.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=3		
Corporeal Instability.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4			
Corpse Candle.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3		
Corrosive Grasp.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1		
Countermoon.MOD	CLASSES:Wicca ~ Advanced=2	
Crabwalk.MOD	CLASSES:Wizardry ~ Basic,Wicca ~ Advanced,Wicca ~ Basic=1	
Crawling Darkness.MOD	CLASSES:Canonry ~ Advanced=5		
Creaking Cacophony.MOD	CLASSES:Wizardry ~ Basic,Wicca ~ Advanced=3			
#Create Magic Tattoo.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2			
Creeping Cold.MOD	CLASSES:Wicca ~ Advanced=2		
Creeping Cold (Greater).MOD	CLASSES:Wicca ~ Advanced=4								
Critical Strike.MOD	CLASSES:Assassin,Wizardry ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1		
#Crown of Glory														
Crumble.MOD	CLASSES:Wicca ~ Advanced=3	
Curse of Ill Fortune.MOD	CLASSES:Blackguard,Canonry ~ Advanced=2			
Curse of Ill Fortune (Mass).MOD	CLASSES:Canonry ~ Advanced=5										
Curse of Impending Blades.MOD	CLASSES:Wizardry ~ Basic,Wicca ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2				
Curse of Impending Blades (Mass).MOD	CLASSES:Wizardry ~ Basic,Wicca ~ Basic,Sorcerer=3|Wizardry ~ Advanced=3												SCHOOL:Necromancy
Cursed Blade.MOD	CLASSES:Assassin=4		
Cutting Hand.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1		
Cyclonic Blast.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5		
														
###D Block														
Daggerspell Stance.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2			
Dance of the Unicorn.MOD	CLASSES:Wicca ~ Advanced=5			
Dark Way.MOD	CLASSES:Wizardry ~ Basic,Canonry ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2	
Darkfire.MOD	CLASSES:Canonry ~ Advanced=3	
Darkvision (Mass).MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4						
Dawn.MOD	CLASSES:Wicca ~ Advanced=0|Wicca ~ Basic=1
Dead End.MOD	CLASSES:Assassin,Wizardry ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1	
Deadfall.MOD	CLASSES:Wicca ~ Advanced=8	
Deafening Clang.MOD	CLASSES:Canonry ~ Basic=1		
Death Armor.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2	
Death Dragon.MOD	CLASSES:Canonry ~ Advanced=7		
Death Pact.MOD	CLASSES:Canonry ~ Advanced=8	
Death Throes.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=5|Wizardry ~ Advanced=5		
Death Ward (Mass).MOD	CLASSES:Canonry ~ Advanced=8|Wicca ~ Advanced=9						
Decomposition.MOD	CLASSES:Wicca ~ Advanced=2		
Decoy Image.MOD	CLASSES:Wicca ~ Basic=3	
Deep Breath.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1	
Deeper Darkvision.MOD	CLASSES:Wicca ~ Basic=4|Sorcerer=3|Wizardry ~ Advanced=3		
Defenestrating Sphere.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4			
Dehydrate.MOD	CLASSES:Wicca ~ Advanced=3	
Deific Vegeance.MOD	CLASSES:Canonry ~ Advanced=2		
Delay Death.MOD	CLASSES:Canonry ~ Advanced=4	
Delay Disease.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=1		
Delusions of Grandeur.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2			
Demon Dirge.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3	
Demonhide.MOD	CLASSES:Blackguard=3	
Desiccating Bubble.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2			
Detect Favored Enemy.MOD	CLASSES:Wicca ~ Basic=1			
Devil Blight.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3		
Diamondsteel.MOD	CLASSES:Canonry ~ Basic,Sorcerer=3|Wizardry ~ Advanced=3		
Dimension Door (Greater).MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5									
Dinosaur Stampede.MOD	CLASSES:Wicca ~ Advanced=6		
Dire Hunger.MOD	CLASSES:Wicca ~ Advanced=5	
Dirge.MOD	CLASSES:Wizardry ~ Basic=6
Dirge of Discord.MOD	CLASSES:Wizardry ~ Basic=3		
Discern Shapechanger.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2			
Discolor Pool.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2		
Disguise Undead.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Dispel Ward.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=1|Wizardry ~ Advanced=1	
Dispelling Breath.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5		
Dispelling Screen.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4		
Dispelling Screen (Greater).MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7							
Displacer Form.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4		
Disquietude.MOD	CLASSES:Wizardry ~ Basic=2	
Disrupt Undead (Greater).MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3									
Dissonant Chant.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2		
Dissonant Chord.MOD	CLASSES:Wizardry ~ Basic=3		
Distort Speech.MOD	CLASSES:Wizardry ~ Basic=1		
Distract.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1	
Distract Assailant.MOD	CLASSES:Assassin,Sorcerer=1|Wizardry ~ Advanced=1			
Distracting Ray.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2		
Divine Agility.MOD	CLASSES:Canonry ~ Advanced=5		
Divine Insight.MOD	CLASSES:Canonry ~ Advanced,Canonry ~ Basic=2		
Divine Interdiction.MOD	CLASSES:Canonry ~ Advanced=2			
Divine Protection.MOD	CLASSES:Canonry ~ Advanced,Canonry ~ Basic=2		
Divine Sacrifice.MOD	CLASSES:Blackguard,Canonry ~ Basic=1		
Dolorous Blow.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=3|Wizardry ~ Advanced=3		
Doomtide.MOD	CLASSES:Canonry ~ Advanced=5	
Downdraft.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=3	
Draconic Might.MOD	CLASSES:Canonry ~ Basic=4|Sorcerer=5|Wizardry ~ Advanced=5		
Dragon Ally.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7	
Dragon Ally (Greater).MOD	CLASSES:Sorcerer=9|Wizardry ~ Advanced=9								
Dragon Ally (Lesser).MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5								
Dragonbreath.MOD	CLASSES:Canonry ~ Advanced=5|Sorcerer=4|Wizardry ~ Advanced=4		
Dragonsight.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=5|Wizardry ~ Advanced=5	
Dragonskin.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3	
Drown.MOD	CLASSES:Wicca ~ Advanced=6
Drown (Mass).MOD	CLASSES:Wicca ~ Advanced=9					
Duelward.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5	
														
### E Block														
Earthfast.MOD	CLASSES:Wicca ~ Advanced=2	
Earth Lock.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2	
Earthbind.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2	
Earthen Grace.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3		
Earthen Grasp.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Earth Reaver.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=5|Wizardry ~ Advanced=5		
Easy Climb.MOD	CLASSES:Wicca ~ Basic=2	
Easy Trail.MOD	CLASSES:Wicca ~ Advanced=2|Wicca ~ Basic=1	
Ebon Eyes.MOD	CLASSES:Assassin,Canonry ~ Advanced,Sorcerer=1|Wizardry ~ Advanced=1	
Echo Skull.MOD	CLASSES:Wicca ~ Advanced=5	
Ectoplasmic Armor.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1		
Ectoplasmic Feedback.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2			
Effulgent Epuration.MOD	CLASSES:Sorcerer=9|Wizardry ~ Advanced=9			
Electric Jolt.MOD	CLASSES:Sorcerer=0|Wizardry ~ Advanced=0		
Electric Loop.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Elemental Body.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7		
Embrace the Wild.MOD	CLASSES:Wicca ~ Advanced=2|Wicca ~ Basic=1		
Emerald Flame Fist.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7			
Energized Shield.MOD	CLASSES:Canonry ~ Advanced=3|Canonry ~ Basic=2		
Energized Shield (Lesser).MOD	CLASSES:Canonry ~ Advanced=2|Canonry ~ Basic=1									
Energy Ebb.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=7|Wizardry ~ Advanced=7	
Energy Immunity.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=6|Sorcerer=7|Wizardry ~ Advanced=7		
Energy Spheres.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4		
Energy Transformation Field.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7				
Energy Vortex.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=3		
Enervating Breath.MOD	CLASSES:Sorcerer=9|Wizardry ~ Advanced=9		
Enhance Familiar.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3		
Enhance Wild Shape.MOD	CLASSES:Wicca ~ Advanced=4			
Enlarge Person (Greater).MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5									
Enrage Animal.MOD	CLASSES:Wicca ~ Basic,Wicca ~ Advanced=1		
Entangling Staff.MOD	CLASSES:Wicca ~ Advanced=3|Sorcerer=4|Wizardry ~ Advanced=4		
Entice Gift.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2	
Enveloping Cocoon.MOD	CLASSES:Wicca ~ Advanced=6		
Eradicate Earth.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3		
Essence of the Raptor.MOD	CLASSES:Wicca ~ Advanced=4			
Ethereal Breath.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5		
Ethereal Chamber.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
