# CVS $Revision: $ $Author: $ -- Wed Mar 20 16:10:53 2013 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:classless	SOURCESHORT:cles
#Original Entry: Andrew Maitland

# CVS $Revision: $ $Author: $ -- Mon Aug 25 14:14:53 2008 -- reformated by prettylst.pl v1.38 (build 7302)
### MAIN SRD SPELLS - REVISED TO MY STANDARDS
###Block: AB
SOURCELONG:Is This It	SOURCESHORT:Is This It	SOURCEDATE:2007-03
Animate Dead.MOD			CLASSES:Canonry=3|Sorcery,Wizardry=4						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Animate Objects.MOD		CLASSES:Canonry,Sorcery,Wizardry=6							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Animate Plants.MOD		CLASSES:Wicca ~ Advanced=7								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Animate Rope.MOD			CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=1					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Antilife Shell.MOD		CLASSES:Canonry,Wicca ~ Advanced=6							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Antimagic Field.MOD		CLASSES:Sorcery,Wizardry=6|Canonry=8						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Antipathy.MOD			CLASSES:Sorcery,Wizardry=8|Wicca ~ Advanced=9					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Antiplant Shell.MOD		CLASSES:Wicca ~ Advanced=4								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Arcane Eye.MOD			CLASSES:Sorcery,Wizardry=4								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Arcane Lock.MOD			CLASSES:Sorcery,Wizardry=2								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Arcane Mark.MOD			CLASSES:Sorcery,Wizardry=0								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Arcane Sight.MOD			CLASSES:Sorcery,Wizardry=3								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Arcane Sight (Greater).MOD	CLASSES:Sorcery,Wizardry=7								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Astral Projection.MOD		CLASSES:Canonry,Sorcery,Wizardry=9							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Atonement.MOD			CLASSES:Canonry,Wicca ~ Advanced=5							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Augury.MOD				CLASSES:Canonry=2										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Awaken.MOD				CLASSES:Wicca ~ Advanced=5								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Baleful Polymorph.MOD		CLASSES:Sorcery,Wicca ~ Advanced,Wizardry=5					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Bane.MOD				CLASSES:Canonry=1										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Banishment.MOD			CLASSES:Canonry=6|Sorcery,Wizardry=7						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Barkskin.MOD			CLASSES:Wicca,Wicca ~ Advanced=2							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wicca]
Bear's Endurance.MOD		CLASSES:Canonry,Sorcery,Wicca,Wicca ~ Advanced,Wizardry=2			PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca]
Bear's Endurance (Mass).MOD	CLASSES:Canonry,Sorcery,Wicca ~ Advanced,Wizardry=6				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry,Advanced Wicca]
Bestow Curse.MOD			CLASSES:Canonry=3|Sorcery,Wizardry=4						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Bigby's Crushing Hand.MOD	CLASSES:Sorcery,Wizardry=9								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Bigby's Clenched Fist.MOD	CLASSES:Sorcery,Wizardry=8								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Bigby's Forceful Hand.MOD	CLASSES:Sorcery,Wizardry=6								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Bigby's Grasping Hand.MOD	CLASSES:Sorcery,Wizardry=7								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Bigby's Interposing Hand.MOD	CLASSES:Sorcery,Wizardry=5								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Binding.MOD				CLASSES:Sorcery,Wizardry=8								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Blade Barrier.MOD			CLASSES:Canonry=6										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Blasphemy.MOD			CLASSES:Canonry=7										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Bless.MOD				CLASSES:Canonry,Canonry ~ Basics=1							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Canonry]
Bless Water.MOD			CLASSES:Canonry,Canonry ~ Basics=1							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Canonry]
Bless Weapon.MOD			CLASSES:Canonry ~ Basics=1								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Canonry]
Blight.MOD				CLASSES:Wicca ~ Advanced=4|Sorcery,Wizardry=5					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Blindness/Deafness.MOD		CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=2|Canonry=3				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Blink.MOD				CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=3					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Blur.MOD				CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=2					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Break Enchantment.MOD		CLASSES:Canonry ~ Basics,Wizardry ~ Basic=4|Canonry,Sorcery,Wizardry=5	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Canonry]
Bull's Strength.MOD		CLASSES:Canonry,Canonry ~ Basics,Sorcery,Wicca ~ Advanced,Wizardry=2	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Canonry,Advanced Wicca]
Bull's Strength (Mass).MOD	CLASSES:Canonry,Sorcery,Wicca ~ Advanced,Wizardry=6				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Burning Hands.MOD			CLASSES:Sorcery,Wizardry=1								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]

###Block: C

# Spell Name				Classes of caster										Multiple Requirements
Call Lightning.MOD			CLASSES:Wicca ~ Advanced=3								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Call Lightning Storm.MOD		CLASSES:Wicca ~ Advanced=5								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Calm Animals.MOD				CLASSES:Wicca,Wicca ~ Advanced=1							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wicca]
Calm Emotions.MOD				CLASSES:Canonry,Sorcery,Wizardry=2							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Cat's Grace.MOD				CLASSES:Sorcery,Wicca,Wicca ~ Advanced,Wizardry=2				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca]
Cat's Grace (Mass).MOD			CLASSES:Sorcery,Wicca ~ Advanced,Wizardry=6					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Wicca]
Cause Fear.MOD				CLASSES:Canonry,Sorcery,Wizardry=1							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Chain Lightning.MOD			CLASSES:Sorcery,Wizardry=6								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Changestaff.MOD				CLASSES:Wicca ~ Advanced=7								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Charm Animal.MOD				CLASSES:Wicca,Wicca ~ Advanced=1							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wicca]
Charm Monster.MOD				CLASSES:Wizardry ~ Basic=3|Sorcery,Wizardry=4					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Charm Monster (Mass).MOD		CLASSES:Wizardry ~ Basic=6|Sorcery,Wizardry=8					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Charm Person.MOD				CLASSES:Sorcery,Wizardry=1								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Chill Metal.MOD				CLASSES:Wicca ~ Advanced=2								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Chill Touch.MOD				CLASSES:Sorcery,Wizardry=1								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Circle of Death.MOD			CLASSES:Sorcery,Wizardry=6								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Clairaudience/Clairvoyance.MOD	CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=3					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Cloak of Chaos.MOD			CLASSES:Canonry=8										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Clone.MOD					CLASSES:Sorcery,Wizardry=8								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Cloudkill.MOD				CLASSES:Sorcery,Wizardry=5								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Color Spray.MOD				CLASSES:Sorcery,Wizardry=1								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Command.MOD					CLASSES:Canonry=1										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Command (Greater).MOD			CLASSES:Canonry=5										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Command Plants.MOD			CLASSES:Wicca=3|Wicca ~ Advanced=4							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wicca]
Command Undead.MOD			CLASSES:Sorcery,Wizardry=2								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Commune.MOD					CLASSES:Canonry=5										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Commune with Nature.MOD			CLASSES:Wicca=4|Wicca ~ Advanced=5							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wicca]
Comprehend Languages.MOD		CLASSES:Canonry,Sorcery,Wizardry=1							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Cone of Cold.MOD				CLASSES:Sorcery,Wizardry=5								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Confusion.MOD				CLASSES:Wizardry ~ Basic=3|Sorcery,Wizardry=4					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Confusion (Lesser).MOD			CLASSES:Sorcery,Wizardry=1								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Consecrate.MOD				CLASSES:Canonry=2										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Contact Other Plane.MOD			CLASSES:Sorcery,Wizardry=5								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Contagion.MOD				CLASSES:Canonry,Wicca ~ Advanced=3|Sorcery,Wizardry=4				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry,Advanced Wicca]
Contingency.MOD				CLASSES:Sorcery,Wizardry=6								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Continual Flame.MOD			CLASSES:Sorcery,Wizardry=2|Canonry=3						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Control Plants.MOD			CLASSES:Wicca ~ Advanced=8								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Control Undead.MOD			CLASSES:Sorcery,Wizardry=7								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Control Water.MOD				CLASSES:Canonry,Wicca ~ Advanced=4|Sorcery,Wizardry=6				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry,Advanced Wicca]
Control Weather.MOD			CLASSES:Canonry,Sorcery,Wicca ~ Advanced,Wizardry=7				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry,Advanced Wicca]
Control Winds.MOD				CLASSES:Wicca ~ Advanced=5								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Create Food and Water.MOD		CLASSES:Canonry=3										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Create Greater Undead.MOD		CLASSES:Canonry,Sorcery,Wizardry=8							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Create Undead.MOD				CLASSES:Canonry,Sorcery,Wizardry=6							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Create Water.MOD				CLASSES:Canonry,Wicca ~ Advanced=0|Canonry ~ Basics=1				PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca,Basic Canonry]
Creeping Doom.MOD				CLASSES:Wicca ~ Advanced=7								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Crushing Despair.MOD			CLASSES:Wizardry ~ Basic=3|Sorcery,Wizardry=4					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Cure Critical Wounds.MOD		CLASSES:Canonry,Wizardry=4|Wicca ~ Advanced=5					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Cure Critical Wounds (Mass).MOD	CLASSES:Canonry=8|Wicca ~ Advanced=9						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Cure Light Wounds.MOD			CLASSES:Canonry,Canonry ~ Basics,Wicca ~ Advanced,Wizardry=1|Wicca=2	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca,Basic Canonry]
Cure Light Wounds (Mass).MOD		CLASSES:Canonry,Wizardry=5|Wicca ~ Advanced=6					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Cure Minor Wounds.MOD			CLASSES:Canonry,Wicca ~ Advanced=0							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Cure Moderate Wounds.MOD		CLASSES:Canonry,Wizardry=2|Canonry ~ Basics,Wicca,Wicca ~ Advanced=3	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca,Basic Canonry]
Cure Moderate Wounds (Mass).MOD	CLASSES:Canonry,Wizardry=6|Wicca ~ Advanced=7					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Cure Serious Wounds.MOD			CLASSES:Canonry,Wizardry=3|Canonry ~ Basics,Wicca,Wicca ~ Advanced=4	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca,Basic Canonry]
Cure Serious Wounds (Mass).MOD	CLASSES:Canonry=7|Wicca ~ Advanced=8						PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Curse Water.MOD				CLASSES:Canonry=1										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]


###Block: DE

# Spell Name			Classes of caster													Multiple Requirements
Dancing Lights.MOD		CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=0								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Darkness.MOD			CLASSES:Canonry,Sorcery,Wizardry,Wizardry ~ Basic=2							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Darkvision.MOD			CLASSES:Sorcery,Wizardry=2|Wicca=3										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca]
Daylight.MOD			CLASSES:Canonry,Canonry ~ Basics,Sorcery,Wicca ~ Advanced,Wizardry,Wizardry ~ Basic=3	PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Canonry]
Daze.MOD				CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=0								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Daze Monster.MOD			CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=2								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Death Knell.MOD			CLASSES:Canonry=2													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Death Ward.MOD			CLASSES:Canonry,Canonry ~ Basics=4|Wicca ~ Advanced=5							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca,Basic Canonry]
Deathwatch.MOD			CLASSES:Canonry=1													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Deep Slumber.MOD			CLASSES:Sorcery,Wizardry,Wizardry ~ Basic=3								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Deeper Darkness.MOD		CLASSES:Canonry=3													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Delay Poison.MOD			CLASSES:Wicca=1|Canonry,Canonry ~ Basics,Sorcery,Wicca ~ Advanced,Wizardry=2			PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca,Basic Canonry]
Delayed Blast Fireball.MOD	CLASSES:Sorcery,Wizardry=7											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Demand.MOD				CLASSES:Sorcery,Wizardry=8											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Desecrate.MOD			CLASSES:Canonry=2													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Destruction.MOD			CLASSES:Canonry=7													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Detect Animals or Plants.MOD	CLASSES:Wicca,Wicca ~ Advanced=1										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wicca]
Detect Chaos.MOD			CLASSES:Canonry=1													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Detect Evil.MOD			CLASSES:Canonry=1													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Detect Good.MOD			CLASSES:Canonry=1													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Detect Law.MOD			CLASSES:Canonry=1													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Detect Magic.MOD			CLASSES:Canonry,Sorcerer,Wicca ~ Advanced,Wizardry=0							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Detect Poison.MOD			CLASSES:Canonry,Sorcery,Wicca ~ Advanced,Wizardry=0|Canonry ~ Basics,Wicca=1			PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca,Basic Canonry]
Detect Scrying.MOD		CLASSES:Sorcery,Wizardry=4											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Detect Secret Doors.MOD		CLASSES:Sorcery,Wizardry=1											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Detect Snares and Pits.MOD	CLASSES:Wicca,Wicca ~ Advanced=1										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wicca]
Detect Thoughts.MOD		CLASSES:Sorcery,Wizardry=2											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Detect Undead.MOD			CLASSES:Canonry,Canonry ~ Basics,Sorcery,Wizardry=1							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Canonry]
Dictum.MOD				CLASSES:Canonry=7													PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Dimension Door.MOD		CLASSES:Sorcery,Wizardry=4											PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
