# CVS $Revision: 11749 $ $Author: amaitland $ -- Wed Mar 20 16:10:53 2013 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
Make CSKILL ~ Heal																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Heal
Make CSKILL ~ Hide																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Hide
Make CSKILL ~ Intimidate															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Intimidate
Make CSKILL ~ Jump																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Jump
Make CSKILL ~ Knowledge (Arcana)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Knowledge (Arcana)
Make CSKILL ~ Knowledge (Architecture and Engineering)										CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Knowledge (Architecture and Engineering)
Make CSKILL ~ Knowledge (Dungeoneering)													CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Knowledge (Dungeoneering)
Make CSKILL ~ Knowledge (Geography)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Knowledge (Geography)
Make CSKILL ~ Knowledge (History)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Knowledge (History)
Make CSKILL ~ Knowledge (Local)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Knowledge (Local)
Make CSKILL ~ Knowledge (Nature)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Knowledge (Nature)
Make CSKILL ~ Knowledge (Nobility and Royalty)												CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Knowledge (Nobility and Royalty)
Make CSKILL ~ Knowledge (Religion)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Knowledge (Religion)
Make CSKILL ~ Knowledge (The Planes)													CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Knowledge (The Planes)
Make CSKILL ~ Knowledge (Psychic)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Knowledge (Psychic)
Make CSKILL ~ Listen																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Listen
Make CSKILL ~ Move Silently															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Move Silently
Make CSKILL ~ Open Lock																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Open Lock
Make CSKILL ~ Perform (Act)															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Perform (Act)
Make CSKILL ~ Perform (Comedy)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Perform (Comedy)
Make CSKILL ~ Perform (Dance)															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Perform (Dance)
Make CSKILL ~ Perform (Keyboard Instruments)												CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Perform (Keyboard Instruments)
Make CSKILL ~ Perform (Oratory)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Perform (Oratory)
Make CSKILL ~ Perform (Percussion Instruments)												CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Perform (Percussion Instruments)
Make CSKILL ~ Perform (Sing)															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Perform (Sing)
Make CSKILL ~ Perform (String Instruments)												CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Perform (String Instruments)
Make CSKILL ~ Perform (Wind Instruments)													CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Perform (Wind Instruments)
Make CSKILL ~ Profession (Herbalist)													CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Profession (Herbalist)
Make CSKILL ~ Profession (Hunter)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Profession (Hunter)
Make CSKILL ~ Profession (Miner)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Profession (Miner)
Make CSKILL ~ Profession (Siege Engineer)													CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Profession (Siege Engineer)
Make CSKILL ~ Ride																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Ride
Make CSKILL ~ Search																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Search
Make CSKILL ~ Sense Motive															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Sense Motive
Make CSKILL ~ Sleight of Hand															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Sleight of Hand
Make CSKILL ~ Speak Language															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Speak Language
Make CSKILL ~ Spellcraft															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Spellcraft
Make CSKILL ~ Spot																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Spot
Make CSKILL ~ Survival																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Survival
Make CSKILL ~ Swim																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Swim
Make CSKILL ~ Tumble																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Tumble
Make CSKILL ~ Use Magic Device														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Use Magic Device
Make CSKILL ~ Use Rope																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Use Rope

Make CSKILL ~ Profession (Farmer)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Profession (Farmer)



# New Skills:
Make CSKILL ~ Acrobatics															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Acrobatics
Make CSKILL ~ Athletics																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Athletics
Make CSKILL ~ Stealth																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Stealth
Make CSKILL ~ Thievery																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Thievery
Make CSKILL ~ Linguistics															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Linguistics
Make CSKILL ~ Insight																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Insight
Make CSKILL ~ Deception																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Deception
Make CSKILL ~ Perception															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Perception
Make CSKILL ~ Persuasion															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Persuasion
Make CSKILL ~ Endurance																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Endurance


Make CSKILL ~ Arcana																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Arcana
Make CSKILL ~ Nature																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Nature

###
CATEGORY=Special Ability|Mystic Artist ~ Multiple Skill.MOD																																																																																																																																																																																																																																																																																																																																																																														ABILITY:Special Ability|AUTOMATIC|Mystic Artist Skill ~ Perform (Act)|PREABILITY:1,CATEGORY=Special Ability,Mystic Artist ~ Multiple Skill (Perform (Act))
CATEGORY=Special Ability|Mystic Artist ~ Multiple Skill.MOD																																																																																																																																																																																																																																																																																																																																																																														ABILITY:Special Ability|AUTOMATIC|Mystic Artist Skill ~ Perform (Comedy)|PREABILITY:1,CATEGORY=Special Ability,Mystic Artist ~ Multiple Skill (Perform (Comedy))
CATEGORY=Special Ability|Mystic Artist ~ Multiple Skill.MOD																																																																																																																																																																																																																																																																																																																																																																														ABILITY:Special Ability|AUTOMATIC|Mystic Artist Skill ~ Perform (Dance)|PREABILITY:1,CATEGORY=Special Ability,Mystic Artist ~ Multiple Skill (Perform (Dance))
CATEGORY=Special Ability|Mystic Artist ~ Multiple Skill.MOD																																																																																																																																																																																																																																																																																																																																																																														ABILITY:Special Ability|AUTOMATIC|Mystic Artist Skill ~ Perform (Keyboard Instruments)|PREABILITY:1,CATEGORY=Special Ability,Mystic Artist ~ Multiple Skill (Perform (Keyboard Instruments))
CATEGORY=Special Ability|Mystic Artist ~ Multiple Skill.MOD																																																																																																																																																																																																																																																																																																																																																																														ABILITY:Special Ability|AUTOMATIC|Mystic Artist Skill ~ Perform (Oratory)|PREABILITY:1,CATEGORY=Special Ability,Mystic Artist ~ Multiple Skill (Perform (Oratory))
CATEGORY=Special Ability|Mystic Artist ~ Multiple Skill.MOD																																																																																																																																																																																																																																																																																																																																																																														ABILITY:Special Ability|AUTOMATIC|Mystic Artist Skill ~ Perform (Percussion Instruments)|PREABILITY:1,CATEGORY=Special Ability,Mystic Artist ~ Multiple Skill (Perform (Percussion Instruments))
CATEGORY=Special Ability|Mystic Artist ~ Multiple Skill.MOD																																																																																																																																																																																																																																																																																																																																																																														ABILITY:Special Ability|AUTOMATIC|Mystic Artist Skill ~ Perform (String Instruments)|PREABILITY:1,CATEGORY=Special Ability,Mystic Artist ~ Multiple Skill (Perform (String Instruments))
CATEGORY=Special Ability|Mystic Artist ~ Multiple Skill.MOD																																																																																																																																																																																																																																																																																																																																																																														ABILITY:Special Ability|AUTOMATIC|Mystic Artist Skill ~ Perform (Wind Instruments)|PREABILITY:1,CATEGORY=Special Ability,Mystic Artist ~ Multiple Skill (Perform (Wind Instruments))
CATEGORY=Special Ability|Mystic Artist ~ Multiple Skill.MOD																																																																																																																																																																																																																																																																																																																																																																														ABILITY:Special Ability|AUTOMATIC|Mystic Artist Skill ~ Perform (Sing)|PREABILITY:1,CATEGORY=Special Ability,Mystic Artist ~ Multiple Skill (Perform (Sing))

Mystic Artist Skill ~ Perform (Act)														CATEGORY:Special Ability																																						DEFINE:MysticArtistSkillAct|0																																																																																																																																																																																																																																																																																										STACK:YES	MULT:YES	CHOOSE:NOCHOICE																																																							BONUS:ABILITYPOOL|Mystic Artist Skill|MysticArtistSkillAct		BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=3	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=4	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=5	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=6	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=9	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=12	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=15	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=18	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=21	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=24	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=30	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=36	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=48	BONUS:VAR|MysticArtistSkillAct|1|PRESKILL:1,Perform (Act)=60
Mystic Artist Skill ~ Perform (Comedy)													CATEGORY:Special Ability																																						DEFINE:MysticArtistSkillComedy|0																																																																																																																																																																																																																																																																																									STACK:YES	MULT:YES	CHOOSE:NOCHOICE																																																							BONUS:ABILITYPOOL|Mystic Artist Skill|MysticArtistSkillComedy	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=3	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=4	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=5	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=6	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=9	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=12	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=15	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=18	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=21	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=24	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=30	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=36	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=48	BONUS:VAR|MysticArtistSkillComedy|1|PRESKILL:1,Perform (Comedy)=60
Mystic Artist Skill ~ Perform (Dance)													CATEGORY:Special Ability																																						DEFINE:MysticArtistSkillDance|0																																																																																																																																																																																																																																																																																									STACK:YES	MULT:YES	CHOOSE:NOCHOICE																																																							BONUS:ABILITYPOOL|Mystic Artist Skill|MysticArtistSkillDance	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=3	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=4	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=5	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=6	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=9	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=12	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=15	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=18	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=21	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=24	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=30	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=36	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=48	BONUS:VAR|MysticArtistSkillDance|1|PRESKILL:1,Perform (Dance)=60
Mystic Artist Skill ~ Perform (Keyboard Instruments)											CATEGORY:Special Ability																																						DEFINE:MysticArtistSkillKeyboard|0																																																																																																																																																																																																																																																																																									STACK:YES	MULT:YES	CHOOSE:NOCHOICE																																																							BONUS:ABILITYPOOL|Mystic Artist Skill|MysticArtistSkillKeyboard	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=3	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=4	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=5	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=6	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=9	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=12	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=15	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=18	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=21	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=24	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=30	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=36	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=48	BONUS:VAR|MysticArtistSkillKeyboard|1|PRESKILL:1,Perform (Keyboard)=60
Mystic Artist Skill ~ Perform (Oratory)													CATEGORY:Special Ability																																						DEFINE:MysticArtistSkillOratory|0																																																																																																																																																																																																																																																																																									STACK:YES	MULT:YES	CHOOSE:NOCHOICE																																																							BONUS:ABILITYPOOL|Mystic Artist Skill|MysticArtistSkillOratory	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=3	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=4	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=5	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=6	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=9	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=12	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=15	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=18	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=21	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=24	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=30	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=36	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=48	BONUS:VAR|MysticArtistSkillOratory|1|PRESKILL:1,Perform (Oratory)=60
Mystic Artist Skill ~ Perform (Percussion Instruments)										CATEGORY:Special Ability																																						DEFINE:MysticArtistSkillPercussion|0																																																																																																																																																																																																																																																																																								STACK:YES	MULT:YES	CHOOSE:NOCHOICE																																																							BONUS:ABILITYPOOL|Mystic Artist Skill|MysticArtistSkillPercussion	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=3	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=4	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=5	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=6	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=9	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=12	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=15	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=18	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=21	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=24	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=30	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=36	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=48	BONUS:VAR|MysticArtistSkillPercussion|1|PRESKILL:1,Perform (Percussion)=60
