# CVS $Revision: $ $Author: $ -- Sat Mar 10 15:23:14 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Is This It	SOURCESHORT:Is This It	SOURCEDATE:2007-03
#Andrew's Custom Deities List
# Deity Name		Output Name					Domains													Desciption of Deity/Title																				Holy Item									Deity Weapon					Alignment	Pantheon				Modify VAR						Define
#A Test			SORTKEY:ELF_Gods_a	OUTPUTNAME:A, Test			DOMAINS:ALL|PREALIGN:LG,LN,LE										DESC:The Test																																DEITYWEAP:Quarterstaff				ALIGN:TN	PANTHEON:Test


##KERCPA DEITY:
# Deity Name		Output Name					Domains													Desciption of Deity/Title																				Holy Item									Deity Weapon					Alignment	Pantheon				Modify VAR						Define					SORTKEY
Eilistraee			OUTPUTNAME:Eilistraee			DOMAINS:Chaos,Charm,Drow,Elf,Good,Moon,Portal|PREALIGN:CG,CN,NG																																						DEITYWEAP:Sword (Bastard)			ALIGN:CG	PANTHEON:Drow|Elf|Faerunian														SORTKEY:Faerun_Gods_a
Gond				OUTPUTNAME:Gond				DOMAINS:Craft,Earth,Fire,Knowledge,Metal,Planning|PREALIGN:LG,LN,LE,NG,TN,NE,CN	DESC:Deity																																	DEITYWEAP:Warhammer				ALIGN:TN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Helm				OUTPUTNAME:Helm				DOMAINS:Law,Planning,Protection,Strength|PREALIGN:LG,LN,LE					DESC:Deity																																	DEITYWEAP:Sword (Bastard)			ALIGN:LN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Ilmater			OUTPUTNAME:Ilmater			DOMAINS:Good,Healing,Law,Strength,Suffering|PREALIGN:LG,LN,NG				DESC:Deity																																	DEITYWEAP:Unarmed					ALIGN:LG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Kelemvor			OUTPUTNAME:Kelemvor			DOMAINS:Fate,Law,Protection,Repose,Travel|PREALIGN:LG,LN,LE					DESC:Deity																																	DEITYWEAP:Sword (Bastard)			ALIGN:LN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Kossuth			OUTPUTNAME:Kossuth			DOMAINS:Destruction,Fire,Renewal,Suffering|PREALIGN:LG,LN,LE,NG,TN,NE,CN		DESC:Deity																																	DEITYWEAP:Chain (Spiked)			ALIGN:TN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Lathander			OUTPUTNAME:Lathander			DOMAINS:Good,Nobility,Protection,Renewal,Strength,Sun|PREALIGN:LG,NG,CG			DESC:Deity																																	DEITYWEAP:Mace (Light)|Mace (Heavy)		ALIGN:NG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Lolth				OUTPUTNAME:Lolth				DOMAINS:Chaos,Darkness,Destruction,Drow,Evil,Spider,Trickery|PREALIGN:NE,CN,CE	DESC:Deity																																	DEITYWEAP:Dagger					ALIGN:CE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Malar				OUTPUTNAME:Malar				DOMAINS:Animal,Chaos,Evil,Moon,Strength|PREALIGN:NE,CN,CE					DESC:Deity																																	DEITYWEAP:Gauntlet (Spiked)			ALIGN:CE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Mask				OUTPUTNAME:Mask				DOMAINS:Darkness,Evil,Luck,Trickery|PREALIGN:LE,NE,CE						DESC:Deity																																	DEITYWEAP:Longsword				ALIGN:NE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Mielikki			OUTPUTNAME:Mielikki			DOMAINS:Animal,Good,Plant,Travel|PREALIGN:LG,NG,CG						DESC:Deity																																	DEITYWEAP:Scimitar				ALIGN:NG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Mystra			OUTPUTNAME:Mystra				DOMAINS:Good,Illusion,Knowledge,Magic,Rune,Spell|PREALIGN:LG,LN,LE,NG,CG		DESC:Deity																																	DEITYWEAP:Shuriken				ALIGN:NG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Oghma				OUTPUTNAME:Oghma				DOMAINS:Charm,Knowledge,Luck,Travel,Trickery|PREALIGN:LG,LN,LE,NG,TN,NE,CN		DESC:Deity																																	DEITYWEAP:Longsword				ALIGN:TN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Selune			OUTPUTNAME:Selune				DOMAINS:Chaos,Good,Moon,Protection,Travel|PREALIGN:NG,CG,CN					DESC:Deity																																	DEITYWEAP:Mace (Heavy)				ALIGN:CG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Shar				OUTPUTNAME:Shar				DOMAINS:Cavern,Darkness,Evil,Knowledge|PREALIGN:LE,NE,CE					DESC:Deity																																	DEITYWEAP:Chakram					ALIGN:NE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Shaundakul			OUTPUTNAME:Shaundakul			DOMAINS:Air,Chaos,Portal,Trade,Travel|PREALIGN:CG,CN,CE					DESC:Deity																																	DEITYWEAP:Greatsword				ALIGN:CN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Silvanus			OUTPUTNAME:Silvanus			DOMAINS:Animal,Plant,Protection,Renewal,Water|PREALIGN:LN,NG,TN,NE,CN			DESC:Deity																																	DEITYWEAP:Maul					ALIGN:TN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Sune				OUTPUTNAME:Sune				DOMAINS:Chaos,Charm,Good,Protection|PREALIGN:LG,NG,CG,CN					DESC:Deity																																	DEITYWEAP:Whip					ALIGN:CG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Talos				OUTPUTNAME:Talos				DOMAINS:Chaos,Destruction,Evil,Fire,Storm|PREALIGN:NE,CN,CE					DESC:Deity																																	DEITYWEAP:Longspear|Shortspear|Halfspear	ALIGN:CE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Tempus			OUTPUTNAME:Tempus				DOMAINS:Chaos,Protection,Strength,War|PREALIGN:CG,CN,CE					DESC:Deity																																	DEITYWEAP:Battleaxe				ALIGN:CN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Torm				OUTPUTNAME:Torm				DOMAINS:Good,Healing,Law,Protection,Strength|PREALIGN:LG,LN,NG				DESC:Deity																																	DEITYWEAP:Greatsword				ALIGN:LG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Tymora			OUTPUTNAME:Tymora				DOMAINS:Chaos,Good,Luck,Protection,Travel|PREALIGN:NG,CG,CN					DESC:Deity																																	DEITYWEAP:Shuriken				ALIGN:CG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Tyr				OUTPUTNAME:Tyr				DOMAINS:Good,Knowledge,Law,Retribution,War|PREALIGN:LG,LN,NG				DESC:Deity																																	DEITYWEAP:Longsword				ALIGN:LG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Umberlee			OUTPUTNAME:Umberlee			DOMAINS:Chaos,Destruction,Evil,Ocean,Storm,Water|PREALIGN:NE,CN,CE			DESC:Deity																																	DEITYWEAP:Trident					ALIGN:CE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Uthgar			OUTPUTNAME:Uthgar				DOMAINS:Animal,Chaos,Retribution,Strength|PREALIGN:CG,CN,CE,TN,NG				DESC:Deity																																	DEITYWEAP:Battleaxe				ALIGN:CN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Waukeen			OUTPUTNAME:Waukeen			DOMAINS:ANY|PREALIGN:LG,LN,LE,NG,TN,NE,CN								DESC:Deity																																								ALIGN:TN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
### Missing Wakeen page. Gave ALL domains.

###OTHER FAERUNIAN DEITIES:
Akadi				OUTPUTNAME:Akadi				DOMAINS:Air,Illusion,Travel,Trickery|PREALIGN:LN,NE,CN					DESC:Deity																																	DEITYWEAP:Flail (Heavy)				ALIGN:TN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Auril				OUTPUTNAME:Auril				DOMAINS:Air,Evil,Storm,Water|PREALIGN:LN,NE,CN							DESC:Deity																																	DEITYWEAP:Battleaxe				ALIGN:NE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Besheba			OUTPUTNAME:Besheba			DOMAINS:Chaos,Evil,Fate,Luck,Trickery|PREALIGN:NE,CN,CE					DESC:Deity																																	DEITYWEAP:Scourge					ALIGN:CE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Deneir			OUTPUTNAME:Deneir				DOMAINS:Good,Knowledge,Protection,Rune|PREALIGN:LG,NG,CG					DESC:Deity																																	DEITYWEAP:Dagger					ALIGN:NG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Eldath			OUTPUTNAME:Eldath				DOMAINS:Family,Good,Plant,Protection,Water|PREALIGN:NG,CG,NG				DESC:Deity																																	DEITYWEAP:Net					ALIGN:NG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Finder Wyvernspur		OUTPUTNAME:Finder Wyvernspur		DOMAINS:Chaos,Charm,Renewal,Scalykind|PREALIGN:CG,CN,CE					DESC:Deity																																								ALIGN:CN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Garagos			OUTPUTNAME:Garagos			DOMAINS:Chaos,Destruction,Strength,War|PREALIGN:CG,CN,CE					DESC:Deity																																	DEITYWEAP:Longsword				ALIGN:CN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Gargauth			OUTPUTNAME:Gargauth			DOMAINS:Charm,Evil,Law,Trickery|PREALIGN:LN,LE,NE						DESC:Deity																																	DEITYWEAP:Dagger					ALIGN:LE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Grumbar			OUTPUTNAME:Grumbar			DOMAINS:Cavern,Earth,Metal,Time|PREALIGN:LN,NG,TN,NE,CN					DESC:Deity																																	DEITYWEAP:Warhammer				ALIGN:TN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Gwaeron Windstorm		OUTPUTNAME:Gwaeron Windstorm		DOMAINS:Animal,Good,Knowledge,Plant,Travel|PREALIGN:LG,NG,CG				DESC:Deity																																	DEITYWEAP:Greatsword				ALIGN:NG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Hoar				OUTPUTNAME:Hoar				DOMAINS:Fate,Law,Retribution,Travel|PREALIGN:LG,LN,LE						DESC:Deity																																	DEITYWEAP:Javelin					ALIGN:LN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Istishia			OUTPUTNAME:Istishia			DOMAINS:Destruction,Ocean,Storm,Travel,Water|PREALIGN:LN,NG,TN,NE,CN			DESC:Deity																																	DEITYWEAP:Warhammer				ALIGN:TN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Jergal			OUTPUTNAME:Jergal				DOMAINS:Fate,Law,Repose,Rune,Suffering|PREALIGN:LG,LN,LE					DESC:Deity																																	DEITYWEAP:Scythe					ALIGN:LN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Lliira			OUTPUTNAME:Lliira				DOMAINS:Chaos,Charm,Family,Good,Travel|PREALIGN:NG,CG,NG					DESC:Deity																																	DEITYWEAP:Shuriken				ALIGN:CG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Loviatar			OUTPUTNAME:Loviatar			DOMAINS:Evil,Law,Retribution,Strength,Suffering|PREALIGN:LN,LE,NE				DESC:Deity																																	DEITYWEAP:Scourge					ALIGN:LE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Lurue				OUTPUTNAME:Lurue				DOMAINS:Animal,Chaos,Good,Healing|PREALIGN:NG,CG,NG						DESC:Deity																																	DEITYWEAP:Shortspear				ALIGN:CG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Milil				OUTPUTNAME:Milil				DOMAINS:Charm,Good,Knowledge,Nobility|PREALIGN:LG,NG,CG					DESC:Deity																																	DEITYWEAP:Rapier					ALIGN:NG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Nobanion			OUTPUTNAME:Nobanion			DOMAINS:Animal,Good,Law,Nobility|PREALIGN:LG,LN,NG						DESC:Deity																																	DEITYWEAP:Pick (Heavy)				ALIGN:LG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Red Knight			OUTPUTNAME:Red Knight			DOMAINS:Law,Nobility,Planning,War|PREALIGN:LG,LN,LE						DESC:Deity																																	DEITYWEAP:Longsword				ALIGN:LN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Savras			OUTPUTNAME:Savras				DOMAINS:Fate,Knowledge,Law,Magic,Spell|PREALIGN:LG,LN,LE					DESC:Deity																																	DEITYWEAP:Dagger					ALIGN:LN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Sharess			OUTPUTNAME:Sharess			DOMAINS:Chaos,Charm,Good,Travel,Trickery|PREALIGN:NG,CG,NG					DESC:Deity																																								ALIGN:CG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Shiallia			OUTPUTNAME:Shiallia			DOMAINS:Animal,Good,Plant,Renewal|PREALIGN:LG,NG,CG						DESC:Deity																																	DEITYWEAP:Quarterstaff				ALIGN:NG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Siamorphe			OUTPUTNAME:Siamorphe			DOMAINS:Knowledge,Law,Nobility,Planning|PREALIGN:LG,LN,LE					DESC:Deity																																	DEITYWEAP:Mace (Light)				ALIGN:LN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Talona			OUTPUTNAME:Talona				DOMAINS:Chaos,Destruction,Evil,Suffering|PREALIGN:NE,CN,CE					DESC:Deity																																	DEITYWEAP:Unarmed strike			ALIGN:CE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Tiamat			OUTPUTNAME:Tiamat				DOMAINS:Evil,Law,Scalykind,Tyranny|PREALIGN:LN,LE,NE						DESC:Deity																																	DEITYWEAP:Pick (Heavy)				ALIGN:LE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Ubtao				OUTPUTNAME:Ubtao				DOMAINS:Planning,Plant,Protection,Scalykind|PREALIGN:LN,NG,TN,NE,CN			DESC:Deity																																	DEITYWEAP:Pick (Heavy)				ALIGN:TN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Ulutiu			OUTPUTNAME:Ulutiu				DOMAINS:Animal,Law,Ocean,Protection|PREALIGN:LG,LN,LE						DESC:Deity																																								ALIGN:LN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Valkur			OUTPUTNAME:Valkur				DOMAINS:Air,Chaos,Good,Ocean,Protection|PREALIGN:NG,CG,CN					DESC:Deity																																	DEITYWEAP:Cutlass					ALIGN:CG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a
Velsharoon			OUTPUTNAME:Velsharoon			DOMAINS:Death,Evil,Magic,Undeath|PREALIGN:LN,NE,CN						DESC:Deity																																	DEITYWEAP:Quarterstaff				ALIGN:NE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_Other_a


###DROW PANTHEON:
Ghaunadaur			OUTPUTNAME:Ghaunadaur			DOMAINS:Cavern,Chaos,Drow,Evil,Hatred,Slime|PREALIGN:NE,CN,CE				DESC:Deity																																	DEITYWEAP:Warhammer				ALIGN:CE	PANTHEON:Drow																SORTKEY:ELF_Gods_Drow_a
Kiaransalee			OUTPUTNAME:Kiaransalee			DOMAINS:Chaos,Drow,Evil,Retribution,Undeath|PREALIGN:NE,CN,CE				DESC:Deity																																	DEITYWEAP:Dagger					ALIGN:CE	PANTHEON:Drow																SORTKEY:ELF_Gods_Drow_a
Selvetarm			OUTPUTNAME:Selvetarm			DOMAINS:Chaos,Drow,Evil,Spider,War|PREALIGN:NE,CN,CE						DESC:Deity																																	DEITYWEAP:Mace (Heavy)				ALIGN:CE	PANTHEON:Drow																SORTKEY:ELF_Gods_Drow_a
Vhaeraun			OUTPUTNAME:Vhaeraun			DOMAINS:Chaos,Drow,Evil,Travel|PREALIGN:NE,CN,CE						DESC:Deity																																	DEITYWEAP:Sword (Short)				ALIGN:CE	PANTHEON:Drow																SORTKEY:ELF_Gods_Drow_a
#S						SORTKEY:ELF_Gods_Drow_a	OUTPUTNAME:S				ALIGN:CE			DOMAINS:ALL|PREALIGN:NE,CN,CE									DESC:Deity				PANTHEON:
#Lolth			SORTKEY:ELF_Gods_Drow_a	OUTPUTNAME:Lolth				ALIGN:CE			DOMAINS:ALL,Chaos,Drow,Evil,Darkness,Destruction|PREALIGN:NE,CN,CE		DESC:Deity	DEITYWEAP:Dagger				PANTHEON:Drow|Faerunian
#Eilistraee			SORTKEY:ELF_Gods_Drow_a	OUTPUTNAME:Eilistraee			ALIGN:CG			DOMAINS:Chaos,Charm,Drow,Elf,Good,Moon,Portal|PREALIGN:NG,CG,NG					DEITYWEAP:Sword (Bastard)		PANTHEON:Drow|Elf

###Dwarf
Abbathor			OUTPUTNAME:Abbathor			DOMAINS:Dwarf,Evil,Luck,Trade,Trickery|PREALIGN:LE,NE,CE																																							DEITYWEAP:Dagger					ALIGN:NE	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
Berronar Truesilver	OUTPUTNAME:Berronar Truesilver	DOMAINS:Dwarf,Family,Good,Healing,Law|PREALIGN:LG,LN,NG																																							DEITYWEAP:Mace (Heavy)				ALIGN:LG	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
Clangeddin			OUTPUTNAME:Clangeddin Silverbeard	DOMAINS:Dwarf,Good,Law,Strength,War|PREALIGN:LG,LN,NG																																								DEITYWEAP:Battleaxe				ALIGN:LG	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
Deep Duerra			OUTPUTNAME:Deep Duerra			DOMAINS:Dwarf,Evil,Law,Mentalism|PREALIGN:LN,LE,NE																																								DEITYWEAP:Battleaxe				ALIGN:LE	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
Dugmaren Brightmantle	OUTPUTNAME:Dugmaren Brightmantle	DOMAINS:Chaos,Craft,Dwarf,Good,Knowledge,Rune|PREALIGN:NG,CG,CN																																						DEITYWEAP:Sword (Short)				ALIGN:CG	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
Dumathoin			OUTPUTNAME:Dumathoin			DOMAINS:Cavern,Craft,Dwarf,Earth,Knowledge,Metal,Protection|PREALIGN:LN,NG,TN,NE,CN																																			DEITYWEAP:Greatclub				ALIGN:TN	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
Gorm Gulthyn		OUTPUTNAME:Gorm Gulthyn			DOMAINS:Dwarf,Good,Law,Protection,War|PREALIGN:LG,LN,NG																																							DEITYWEAP:Battleaxe				ALIGN:LG	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
Haela Brightaxe		OUTPUTNAME:Haela Brightaxe		DOMAINS:Chaos,Dwarf,Good,Luck,War|PREALIGN:NG,CG,CN																																								DEITYWEAP:Greatsword				ALIGN:CG	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
Laduguer			OUTPUTNAME:Laduguer			DOMAINS:Craft,Dwarf,Evil,Law,Magic|PREALIGN:LN,LE,NE																														SYMBOL:Broken crossbow bolt on a shield				DEITYWEAP:Warhammer				ALIGN:LE	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
Marthammor Duin		OUTPUTNAME:Marthammor Duin		DOMAINS:Dwarf,Good,Protection,Travel|PREALIGN:LG,NG,CG																													SYMBOL:Upright mace in front of a fur-trimmed leather boot	DEITYWEAP:Mace (Heavy)				ALIGN:NG	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
Sharindlar			OUTPUTNAME:Sharindlar			DOMAINS:Chaos,Charm,Dwarf,Good,Healing,Moon|PREALIGN:NG,CG,CN				DESC:None																																	DEITYWEAP:Whip					ALIGN:CG	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
Thard Harr			OUTPUTNAME:Thard Harr			DOMAINS:Animal,Chaos,Dwarf,Good,Plant|PREALIGN:NG,CG,CN					DESC:None																																	DEITYWEAP:Gauntlet (Spiked)			ALIGN:CG	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
Vergadain			OUTPUTNAME:Vergadain			DOMAINS:Dwarf,Luck,Trade,Trickery|PREALIGN:LN,CG,TN,NE,CN					DESC:None																							SYMBOL:Gold piece								DEITYWEAP:Longsword				ALIGN:TN	PANTHEON:Dwarf																SORTKEY:Dwarf_Gods_a
#Moradin			SORTKEY:Dwarf_Gods_a	OUTPUTNAME:Moradin			DOMAINS:Craft,Dwarf,Earth,Good,Law,Protection|PREALIGN:LG,LN,NG								DEITYWEAP:Warhammer	SYMBOL:Hammer and anvil		PANTHEON:Dwarf	ALIGN:LG

###ELF PANTHEON:
Aerdrie Faenya		OUTPUTNAME:Aerdrie Faenya		DOMAINS:Air,Animal|PREALIGN:NG,CG,CN																																																	ALIGN:CG	PANTHEON:Elf																SORTKEY:ELF_Gods_a
Angharradh			OUTPUTNAME:Angharradh			DOMAINS:Elf|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE																																																		PANTHEON:Elf																SORTKEY:ELF_Gods_a
#Corellon Larethian	SORTKEY:ELF_Gods_a	OUTPUTNAME:Corellon Larethian		DOMAINS:ALL|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE									PANTHEON:Elf
Deep Sashelas		OUTPUTNAME:Deep Sashelas		DOMAINS:ANY|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE																																																		PANTHEON:Elf																SORTKEY:ELF_Gods_a
