# CVS $Revision: $ $Author: $ -- Wed May 13 15:00:48 2009 -- reformated by prettylst.pl v1.38 (build 7302)
SOURCELONG:classless	SOURCESHORT:cles
#Original Entry: Andrew Maitland

# CVS $Revision: $ $Author: $ -- Mon Aug 25 14:14:53 2008 -- reformated by prettylst.pl v1.38 (build 7302)
### MAIN SRD SPELLS - REVISED TO MY STANDARDS
###Block: AB
SOURCELONG:Is This It	SOURCESHORT:Is This It	SOURCEDATE:2007-03
Animal Trance.MOD			CLASSES:Wizardry,Sorcery,Wicca ~ Advanced=2						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Wicca]
Animate Dead.MOD			CLASSES:Canonry=3|Wizardry,Sorcery=4							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Animate Objects.MOD		CLASSES:Wizardry,Sorcery,Canonry=6							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Animate Plants.MOD		CLASSES:Wicca ~ Advanced=7							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Animate Rope.MOD			CLASSES:Wizardry,Sorcery=1|Wizardry ~ Basic=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Antilife Shell.MOD		CLASSES:Canonry,Wicca ~ Advanced=6						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Antimagic Field.MOD		CLASSES:Wizardry,Sorcery=6|Canonry=8							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Antipathy.MOD			CLASSES:Wizardry,Sorcery=8|Wicca ~ Advanced=9					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Antiplant Shell.MOD		CLASSES:Wicca ~ Advanced=4							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Arcane Eye.MOD			CLASSES:Wizardry,Sorcery=4								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Arcane Lock.MOD			CLASSES:Wizardry,Sorcery=2								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Arcane Mark.MOD			CLASSES:Wizardry,Sorcery=0								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Arcane Sight.MOD			CLASSES:Wizardry,Sorcery=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Arcane Sight (Greater).MOD	CLASSES:Wizardry,Sorcery=7								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Astral Projection.MOD		CLASSES:Canonry=9|Wizardry,Sorcery=9							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Atonement.MOD			CLASSES:Canonry,Wicca ~ Advanced=5						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Augury.MOD				CLASSES:Canonry=2									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Awaken.MOD				CLASSES:Wicca ~ Advanced=5							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Baleful Polymorph.MOD		CLASSES:Wicca ~ Advanced=5|Wizardry,Sorcery=5					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Bane.MOD				CLASSES:Canonry=1									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Banishment.MOD			CLASSES:Canonry=6|Wizardry,Sorcery=7							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Barkskin.MOD			CLASSES:Wicca ~ Advanced,Wicca=2						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Bear's Endurance.MOD		CLASSES:Canonry,Wicca ~ Advanced,Wicca=2|Wizardry,Sorcery=2			PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca]
Bear's Endurance (Mass).MOD	CLASSES:Canonry,Wicca ~ Advanced=6|Wizardry,Sorcery=6				PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry,Advanced Wicca]
Bestow Curse.MOD			CLASSES:Canonry=3|Wizardry,Sorcery=4							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Bigby's Crushing Hand.MOD	CLASSES:Wizardry,Sorcery=9								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Bigby's Clenched Fist.MOD	CLASSES:Wizardry,Sorcery=8								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Bigby's Forceful Hand.MOD	CLASSES:Wizardry,Sorcery=6								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Bigby's Grasping Hand.MOD	CLASSES:Wizardry,Sorcery=7								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Bigby's Interposing Hand.MOD	CLASSES:Wizardry,Sorcery=5								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Binding.MOD				CLASSES:Wizardry,Sorcery=8								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Blade Barrier.MOD			CLASSES:Canonry=6									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Blasphemy.MOD			CLASSES:Canonry=7									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Bless.MOD				CLASSES:Canonry,Canonry ~ Basics=1						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Canonry]
Bless Water.MOD			CLASSES:Canonry,Canonry ~ Basics=1						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Canonry]
Bless Weapon.MOD			CLASSES:Canonry ~ Basics=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Canonry]
Blight.MOD				CLASSES:Wicca ~ Advanced=4|Wizardry,Sorcery=5					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Blindness/Deafness.MOD		CLASSES:Wizardry,Sorcery=2|Wizardry ~ Basic=2|Canonry=3					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Blink.MOD				CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Blur.MOD				CLASSES:Wizardry,Sorcery=2|Wizardry ~ Basic=2							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Break Enchantment.MOD		CLASSES:Wizardry ~ Basic,Canonry ~ Basics=4|Canonry=5|Wizardry,Sorcery=5		PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Canonry]
Bull's Strength.MOD		CLASSES:Canonry,Wicca ~ Advanced,Canonry ~ Basics=2|Wizardry,Sorcery=2	PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Canonry,Advanced Wicca]
Bull's Strength (Mass).MOD	CLASSES:Canonry,Wicca ~ Advanced=6|Wizardry,Sorcery=6				PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Wicca]
Burning Hands.MOD			CLASSES:Wizardry,Sorcery=1								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]

###Block: C

# Spell Name				Classes of caster										Multiple Requirements
Call Lightning.MOD			CLASSES:Wicca ~ Advanced=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Call Lightning Storm.MOD		CLASSES:Wicca ~ Advanced=5								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Calm Animals.MOD				CLASSES:Wicca ~ Advanced,Wicca=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Calm Emotions.MOD				CLASSES:Wizardry,Sorcery,Canonry=2								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Cat's Grace.MOD				CLASSES:Wicca ~ Advanced,Wicca=2|Wizardry,Sorcery=2					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca]
Cat's Grace (Mass).MOD			CLASSES:Wicca ~ Advanced=6|Wizardry,Sorcery=6						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Wicca]
Cause Fear.MOD				CLASSES:Canonry=1|Wizardry,Sorcery=1								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Chain Lightning.MOD			CLASSES:Wizardry,Sorcery=6									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Changestaff.MOD				CLASSES:Wicca ~ Advanced=7								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Charm Animal.MOD				CLASSES:Wicca ~ Advanced,Wicca=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Charm Monster.MOD				CLASSES:Wizardry ~ Basic=3|Wizardry,Sorcery=4								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Charm Monster (Mass).MOD		CLASSES:Wizardry ~ Basic=6|Wizardry,Sorcery=8								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Charm Person.MOD				CLASSES:Wizardry,Sorcery=1|Wizardry,Sorcery=1								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Chill Metal.MOD				CLASSES:Wicca ~ Advanced=2								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Chill Touch.MOD				CLASSES:Wizardry,Sorcery=1									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Circle of Death.MOD			CLASSES:Wizardry,Sorcery=6									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Clairaudience/Clairvoyance.MOD	CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Cloak of Chaos.MOD			CLASSES:Canonry=8										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Clone.MOD					CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Cloudkill.MOD				CLASSES:Wizardry,Sorcery=5									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Color Spray.MOD				CLASSES:Wizardry,Sorcery=1									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Command.MOD					CLASSES:Canonry=1										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Command (Greater).MOD			CLASSES:Canonry=5										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Command Plants.MOD			CLASSES:Wicca ~ Advanced=4|Wicca=3							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Command Undead.MOD			CLASSES:Wizardry,Sorcery=2									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Commune.MOD					CLASSES:Canonry=5										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Commune with Nature.MOD			CLASSES:Wicca=4|Wicca ~ Advanced=5							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Comprehend Languages.MOD		CLASSES:Canonry=1|Wizardry,Sorcery=1								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Cone of Cold.MOD				CLASSES:Wizardry,Sorcery=5									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Confusion.MOD				CLASSES:Wizardry ~ Basic=3|Wizardry,Sorcery=4								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Confusion (Lesser).MOD			CLASSES:Wizardry,Sorcery=1									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Consecrate.MOD				CLASSES:Canonry=2										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Contact Other Plane.MOD			CLASSES:Wizardry,Sorcery=5									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Contagion.MOD				CLASSES:Canonry,Wicca ~ Advanced=3|Wizardry,Sorcery=4					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry,Advanced Wicca]
Contingency.MOD				CLASSES:Wizardry,Sorcery=6									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Continual Flame.MOD			CLASSES:Wizardry,Sorcery=2|Canonry=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Control Plants.MOD			CLASSES:Wicca ~ Advanced=8								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Control Undead.MOD			CLASSES:Wizardry,Sorcery=7									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Control Water.MOD				CLASSES:Canonry,Wicca ~ Advanced=4|Wizardry,Sorcery=6					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry,Advanced Wicca]
Control Weather.MOD			CLASSES:Canonry,Wicca ~ Advanced=7|Wizardry,Sorcery=7					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry,Advanced Wicca]
Control Winds.MOD				CLASSES:Wicca ~ Advanced=5								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Create Food and Water.MOD		CLASSES:Canonry=3										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Create Greater Undead.MOD		CLASSES:Canonry=8|Wizardry,Sorcery=8								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Create Undead.MOD				CLASSES:Canonry=6|Wizardry,Sorcery=6								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Advanced Canonry]
Create Water.MOD				CLASSES:Canonry,Wicca ~ Advanced=0|Canonry ~ Basics=1				PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca,Basic Canonry]
Creeping Doom.MOD				CLASSES:Wicca ~ Advanced=7								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca]
Crushing Despair.MOD			CLASSES:Wizardry ~ Basic=3|Wizardry,Sorcery=4								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Cure Critical Wounds.MOD		CLASSES:Wizardry,Canonry=4|Wicca ~ Advanced=5					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Cure Critical Wounds (Mass).MOD	CLASSES:Canonry=8|Wicca ~ Advanced=9						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Cure Light Wounds.MOD			CLASSES:Wizardry,Canonry,Wicca ~ Advanced,Canonry ~ Basics=1|Wicca=2	PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca,Basic Canonry]
Cure Light Wounds (Mass).MOD		CLASSES:Wizardry,Canonry=5|Wicca ~ Advanced=6					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Cure Minor Wounds.MOD			CLASSES:Canonry,Wicca ~ Advanced=0							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Cure Moderate Wounds.MOD		CLASSES:Wizardry,Canonry=2|Wicca ~ Advanced,Canonry ~ Basics,Wicca=3	PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca,Basic Canonry]
Cure Moderate Wounds (Mass).MOD	CLASSES:Wizardry,Canonry=6|Wicca ~ Advanced=7					PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Cure Serious Wounds.MOD			CLASSES:Wizardry,Canonry=3|Wicca ~ Advanced,Canonry ~ Basics,Wicca=4	PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca,Basic Canonry]
Cure Serious Wounds (Mass).MOD	CLASSES:Canonry=7|Wicca ~ Advanced=8						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Curse Water.MOD				CLASSES:Canonry=1										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]


###Block: DE

# Spell Name			Classes of caster										Multiple Requirements
Dancing Lights.MOD		CLASSES:Wizardry,Sorcery=0|Wizardry ~ Basic=0								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Darkness.MOD			CLASSES:Wizardry ~ Basic,Canonry=2|Wizardry,Sorcery=2						PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry]
Darkvision.MOD			CLASSES:Wizardry,Sorcery=2|Wicca=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca]
Daylight.MOD			CLASSES:Wizardry ~ Basic,Canonry,Wicca ~ Advanced,Canonry ~ Basics=3|Wizardry,Sorcery=3	PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Canonry]
Daze.MOD				CLASSES:Wizardry ~ Basic=0|Wizardry,Sorcery=0								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Daze Monster.MOD			CLASSES:Wizardry ~ Basic=2|Wizardry,Sorcery=2								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Death Knell.MOD			CLASSES:Canonry=2										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Death Ward.MOD			CLASSES:Canonry,Canonry ~ Basics=4|Wicca ~ Advanced=5				PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wicca,Basic Canonry]
Deathwatch.MOD			CLASSES:Canonry=1										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Deep Slumber.MOD			CLASSES:Wizardry,Sorcery=3|Wizardry ~ Basic=3								PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Deeper Darkness.MOD		CLASSES:Canonry=3										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Delay Poison.MOD			CLASSES:Wicca=1|Wizardry,Sorcery,Canonry,Wicca ~ Advanced,Canonry ~ Basics=2	PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca,Basic Canonry]
Delayed Blast Fireball.MOD	CLASSES:Wizardry,Sorcery=7									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Demand.MOD				CLASSES:Wizardry,Sorcery=8									PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Desecrate.MOD			CLASSES:Canonry=2										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Destruction.MOD			CLASSES:Canonry=7										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Detect Animals or Plants.MOD	CLASSES:Wicca ~ Advanced,Wicca=1							PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wicca]
Detect Chaos.MOD			CLASSES:Canonry=1										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Detect Evil.MOD			CLASSES:Canonry=1										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Detect Good.MOD			CLASSES:Canonry=1										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Detect Law.MOD			CLASSES:Canonry=1										PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Canonry]
Detect Magic.MOD			CLASSES:Wizardry,Canonry,Wicca ~ Advanced,Sorcerer=0				PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Canonry,Advanced Wicca]
Detect Poison.MOD			CLASSES:Canonry,Wicca ~ Advanced=0|Wizardry,Sorcery=0|Canonry ~ Basics,Wicca=1	PREMULT:1,[!PRECLASS:1,Classless,Point Buy],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca,Basic Canonry]
